rank,prev_rank,name,league,off,def,spi
569,572,Golden Arrows,South African ABSA Premier League,0.48,1.67,17.68
570,560,Plymouth Argyle,English League Two,0.65,1.99,17.64
571,573,San Diego Loyal SC,United Soccer League,0.68,2.06,17.63
572,575,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
573,559,Juve Stabia,Italy Serie B,0.64,2.0,17.33
574,574,Livorno,Italy Serie B,0.62,1.97,17.29
575,576,Sandefjord,Norwegian Tippeligaen,0.62,1.98,17.15
576,578,Trapani,Italy Serie B,0.62,2.02,16.79
577,569,Exeter City,English League Two,0.64,2.06,16.71
578,577,Central Coast Mariners,Australian A-League,0.77,2.3,16.55
579,579,Charlotte Independence,United Soccer League,0.65,2.12,16.26
580,580,Cheltenham Town,English League Two,0.49,1.83,16.09
581,582,Polokwane City FC,South African ABSA Premier League,0.48,1.86,15.62
582,583,Birmingham Legion FC,United Soccer League,0.61,2.12,15.43
583,584,Charleston Battery,United Soccer League,0.56,2.04,15.31
584,588,Northampton Town,English League Two,0.56,2.07,14.91
585,587,Colchester United,English League Two,0.53,2.03,14.73
586,586,Falkenbergs FF,Swedish Allsvenskan,0.59,2.14,14.7
587,585,Bristol Rovers,English League One,0.48,1.99,14.07
588,589,Stellenbosch FC,South African ABSA Premier League,0.41,1.85,13.98
589,590,Chippa United,South African ABSA Premier League,0.29,1.61,13.66
590,598,Shrewsbury Town,English League One,0.37,1.79,13.64
591,581,AFC Wimbledon,English League One,0.47,2.02,13.61
592,591,Rochdale,English League One,0.55,2.2,13.38
593,593,Varbergs BoIS FC,Swedish Allsvenskan,0.47,2.04,13.37
594,594,LA Galaxy II,United Soccer League,0.61,2.33,13.28
595,595,Memphis 901 FC,United Soccer League,0.51,2.14,13.27
596,596,Black Leopards,South African ABSA Premier League,0.45,2.0,13.26
597,597,New York Red Bulls II,United Soccer League,0.62,2.37,13.13
598,599,AmaZulu,South African ABSA Premier League,0.31,1.73,13.01
599,592,Salford City,English League Two,0.49,2.12,12.89
600,600,Bradford City,English League Two,0.43,2.06,12.37
601,601,Port Vale,English League Two,0.44,2.09,12.19
602,603,Scunthorpe,English League Two,0.5,2.25,11.92
603,602,Baroka FC,South African ABSA Premier League,0.21,1.59,11.9
604,604,Loudoun United FC,United Soccer League,0.6,2.48,11.82
605,605,Hartford Athletic,United Soccer League,0.62,2.53,11.76
606,606,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.23,11.67
607,607,Tulsa Roughnecks,United Soccer League,0.53,2.37,11.49
608,609,Crawley Town,English League Two,0.45,2.2,11.43
609,608,Mansfield Town,English League Two,0.51,2.38,10.97
610,610,Tacoma Defiance,United Soccer League,0.54,2.47,10.76
611,611,Las Vegas Lights FC,United Soccer League,0.46,2.32,10.62
612,612,Southend United,English League One,0.55,2.66,9.65
613,619,Oldham Athletic,English League Two,0.41,2.34,9.51
614,613,Bolton,English League One,0.41,2.37,9.43
615,617,Leyton Orient,English League Two,0.41,2.38,9.41
616,616,Newport County,English League Two,0.2,1.85,9.38
617,615,Tranmere Rovers,English League One,0.35,2.25,9.29
618,620,Rio Grande Valley FC Toros,United Soccer League,0.37,2.3,9.2
619,618,Grimsby Town,English League Two,0.32,2.19,9.11
620,614,Forest Green Rovers,English League Two,0.33,2.22,9.03
621,621,Walsall,English League Two,0.34,2.28,8.75
622,622,Atlanta United 2,United Soccer League,0.42,2.6,8.0
623,623,Swope Park Rangers,United Soccer League,0.39,2.63,7.41
624,624,Carlisle United,English League Two,0.27,2.31,7.37
625,625,Bethlehem Steel FC,United Soccer League,0.4,2.69,7.22
626,626,Macclesfield,English League Two,0.2,2.2,6.95
627,628,Cambridge United,English League Two,0.2,2.23,6.74
628,627,Stevenage,English League Two,0.2,2.26,6.6
629,629,Morecambe,English League Two,0.23,2.44,6.16
